StartTime,EndTime,Title,Annotation,MainCategory,Category2,Category3
00:05:27.541,00:05:27.541,28,,-0.07326691;-0.3126391,0.6876935,28,
00:05:27.541,00:05:27.541,28,,-0.07360326;-0.3126525,0.6877654,28,
00:05:27.541,00:05:27.541,28,,-0.07400306;-0.3121307,0.6880665,28,
00:05:27.541,00:05:27.541,28,,-0.07475736;-0.3118489,0.6884071,28,
00:05:27.611,00:05:27.611,28,,-0.07533038;-0.3114761,0.6885079,28,
00:05:27.611,00:05:27.611,28,,-0.07612273;-0.3105812,0.688678,28,
00:05:27.611,00:05:27.611,28,,-0.07670367;-0.3102528,0.6886251,28,
00:05:27.611,00:05:27.611,28,,-0.07713933;-0.3096091,0.6885381,28,
00:05:27.650,00:05:27.650,28,,-0.07807802;-0.3088525,0.6884688,28,
00:05:27.650,00:05:27.650,28,,-0.07871836;-0.3078219,0.6885254,28,
00:05:27.695,00:05:27.695,28,,-0.07967825;-0.3073496,0.6886876,28,
00:05:27.695,00:05:27.695,28,,-0.0805352;-0.3063437,0.6887939,28,
00:05:27.736,00:05:27.736,28,,-0.08082777;-0.3059054,0.6888044,28,
00:05:27.736,00:05:27.736,28,,-0.08147671;-0.3053887,0.6888903,28,
00:05:27.782,00:05:27.782,28,,-0.08203049;-0.3048468,0.6889663,28,
00:05:27.782,00:05:27.782,28,,-0.08221514;-0.304347,0.689187,28,
00:05:27.876,00:05:27.876,28,,-0.08233447;-0.3045565,0.6892074,28,
00:05:27.876,00:05:27.876,28,,-0.08250977;-0.3041511,0.6893921,28,
00:05:27.876,00:05:27.876,28,,-0.08271018;-0.3039466,0.6893675,28,
00:05:27.914,00:05:27.914,28,,-0.08282213;-0.3039442,0.6894864,28,
00:05:27.914,00:05:27.914,28,,-0.08300884;-0.3041278,0.6896436,28,
00:05:27.914,00:05:27.914,28,,-0.08295598;-0.3041866,0.6896266,28,
00:05:27.959,00:05:27.959,28,,-0.08267209;-0.3042901,0.6894909,28,
00:05:27.959,00:05:27.959,28,,-0.08270292;-0.3043116,0.6893995,28,
00:05:27.998,00:05:27.998,28,,-0.08259837;-0.3041219,0.6893389,28,
00:05:28.042,00:05:28.042,28,,-0.0826696;-0.3040839,0.6891618,28,
00:05:28.042,00:05:28.042,28,,-0.08246589;-0.3042668,0.6889616,28,
00:05:28.082,00:05:28.082,28,,-0.08241686;-0.3046375,0.6887321,28,
00:05:28.082,00:05:28.082,28,,-0.08263898;-0.3045258,0.6887394,28,
00:05:28.123,00:05:28.123,28,,-0.08235336;-0.3046909,0.6884773,28,
00:05:28.123,00:05:28.123,28,,-0.08233312;-0.304648,0.6882675,28,
00:05:28.266,00:05:28.266,28,,-0.08218078;-0.3047187,0.688145,28,
00:05:28.266,00:05:28.266,28,,-0.08230467;-0.3044907,0.6881371,28,
00:05:28.266,00:05:28.266,28,,-0.08180293;-0.3047299,0.6880161,28,
00:05:28.266,00:05:28.266,28,,-0.0813052;-0.3052651,0.6879125,28,
00:05:28.277,00:05:28.277,28,,-0.08076984;-0.3060963,0.6877497,28,
00:05:28.278,00:05:28.278,28,,-0.08006939;-0.3068,0.6874343,28,
00:05:28.293,00:05:28.293,28,,-0.07931291;-0.3069255,0.6870036,28,
00:05:28.294,00:05:28.294,28,,-0.07856762;-0.3080062,0.6866068,28,
00:05:28.334,00:05:28.334,28,,-0.07752614;-0.3087847,0.6861463,28,
00:05:28.334,00:05:28.334,28,,-0.07665572;-0.3091294,0.6860308,28,
00:05:28.375,00:05:28.375,28,,-0.0758338;-0.3102749,0.6855939,28,
00:05:28.415,00:05:28.415,28,,-0.07503112;-0.3100492,0.6852204,28,
00:05:28.415,00:05:28.415,28,,-0.07474672;-0.3100479,0.6850761,28,
00:05:28.457,00:05:28.457,28,,-0.07378672;-0.3111001,0.6846054,28,
00:05:28.457,00:05:28.457,28,,-0.07288146;-0.3112148,0.6842085,28,
00:05:28.512,00:05:28.512,28,,-0.07271469;-0.3116525,0.6842004,28,
00:05:28.512,00:05:28.512,28,,-0.07240398;-0.3117243,0.6839355,28,
00:05:28.548,00:05:28.548,28,,-0.07230909;-0.3115938,0.6837531,28,
00:05:28.548,00:05:28.548,28,,-0.07211493;-0.3115608,0.6835088,28,
00:05:28.589,00:05:28.589,28,,-0.07207679;-0.3116511,0.6834588,28,
00:05:28.590,00:05:28.590,28,,-0.07229605;-0.3117643,0.683623,28,
00:05:28.638,00:05:28.638,28,,-0.07240643;-0.3121744,0.6836767,28,
00:05:28.638,00:05:28.638,28,,-0.07289129;-0.312017,0.6841224,28,
00:05:28.680,00:05:28.680,28,,-0.07285549;-0.3118013,0.6842027,28,
00:05:28.681,00:05:28.681,28,,-0.07316019;-0.3117107,0.6843076,28,
00:05:28.726,00:05:28.726,28,,-0.07324827;-0.3117608,0.6843195,28,
00:05:28.726,00:05:28.726,28,,-0.07303663;-0.3115526,0.6841967,28,
00:05:28.777,00:05:28.777,28,,-0.0727301;-0.3113542,0.6841774,28,
00:05:28.777,00:05:28.777,28,,-0.07236166;-0.3112379,0.6839339,28,
00:05:28.815,00:05:28.815,28,,-0.07206216;-0.3106712,0.6837143,28,
00:05:28.815,00:05:28.815,28,,-0.07197218;-0.310064,0.6837434,28,
00:05:28.902,00:05:28.902,28,,-0.07092141;-0.3094331,0.6835538,28,
00:05:28.902,00:05:28.902,28,,-0.07000634;-0.3085111,0.6832892,28,
00:05:28.907,00:05:28.907,28,,-0.0693633;-0.3078977,0.6830474,28,
00:05:28.907,00:05:28.907,28,,-0.06854475;-0.3067674,0.6827675,28,
00:05:28.952,00:05:28.952,28,,-0.06755176;-0.3059867,0.6826061,28,
00:05:28.953,00:05:28.953,28,,-0.06324635;-0.2990699,0.6801082,28,
00:05:28.997,00:05:28.997,28,,-0.06218529;-0.2976676,0.6798015,28,
00:05:28.997,00:05:28.997,28,,-0.06091861;-0.2965195,0.6794418,28,
00:05:29.039,00:05:29.039,28,,-0.06027775;-0.2957946,0.6792836,28,
00:05:29.118,00:05:29.118,28,,-0.06336234;-0.3002792,0.681379,28,
00:05:29.125,00:05:29.125,28,,-0.05924048;-0.2927449,0.6788686,28,
00:05:29.125,00:05:29.125,28,,-0.06237619;-0.2983208,0.6810187,28,
00:05:29.142,00:05:29.142,28,,-0.05874583;-0.2916805,0.6790257,28,
00:05:29.142,00:05:29.142,28,,-0.05861388;-0.2912443,0.6790019,28,
00:05:29.176,00:05:29.176,28,,-0.05841104;-0.2913321,0.6791016,28,
00:05:29.176,00:05:29.176,28,,-0.05803509;-0.2915575,0.6786882,28,
