Timestamp;Annotation ID;Width;Color (r,g,b);Point Index;Position (x,y,z);Position` (x,y,z)
637326632233874260;37;0.001999997;0,187,255;11;0.04606394,0.09615088,0.5617926;0.04606394,0.09615088,0.5617926
637326632233874260;37;0.001999997;0,187,255;12;0.04733468,0.0940285,0.5619999;0.04733468,0.0940285,0.5619999
637326632234201617;37;0.001999997;0,187,255;13;0.04932152,0.09058779,0.5626663;0.04932152,0.09058779,0.5626663
637326632234201617;37;0.001999997;0,187,255;14;0.0511146,0.08725801,0.563345;0.0511146,0.08725801,0.563345
637326632234608338;37;0.001999997;0,187,255;15;0.05236187,0.08489704,0.5641062;0.05236187,0.08489704,0.5641062
637326632234608338;37;0.001999997;0,187,255;16;0.05406985,0.08149025,0.5653067;0.05406985,0.08149025,0.5653067
637326632235139056;37;0.001999997;0,187,255;17;0.05538347,0.07801998,0.5666559;0.05538347,0.07801998,0.5666559
637326632235139056;37;0.001999997;0,187,255;18;0.05643387,0.07589382,0.567625;0.05643387,0.07589382,0.567625
637326632235476339;37;0.001999997;0,187,255;19;0.05740181,0.07235974,0.5687633;0.05740181,0.07235974,0.5687633
637326632235476339;37;0.001999997;0,187,255;20;0.05833403,0.06923324,0.5704844;0.05833403,0.06923324,0.5704844
637326632235853313;37;0.001999997;0,187,255;21;0.05868263,0.06715804,0.5714203;0.05868263,0.06715804,0.5714203
637326632235853313;37;0.001999997;0,187,255;22;0.05867616,0.06504336,0.5721936;0.05867616,0.06504336,0.5721936
637326632236369140;37;0.001999997;0,187,255;23;0.05887434,0.06078973,0.5735611;0.05887434,0.06078973,0.5735611
637326632236790736;37;0.001999997;0,187,255;24;0.05861127,0.05885926,0.5741726;0.05861127,0.05885926,0.5741726
637326632236790736;37;0.001999997;0,187,255;25;0.05835786,0.05584276,0.5750424;0.05835786,0.05584276,0.5750424
637326632237306589;37;0.001999997;0,187,255;26;0.05785862,0.0527716,0.5756419;0.05785862,0.0527716,0.5756419
637326632237306589;37;0.001999997;0,187,255;27;0.05730037,0.05088329,0.5763776;0.05730037,0.05088329,0.5763776
637326632237663722;37;0.001999997;0,187,255;28;0.05618596,0.04838312,0.5771554;0.05618596,0.04838312,0.5771554
637326632237663722;37;0.001999997;0,187,255;29;0.05479033,0.0459207,0.5779369;0.05479033,0.0459207,0.5779369
